Lake_code,Lake_abbr,Year,Period,B_mys,B_amp,Rel_mys,Rel_amp,PC_mys,PC_amp,PC,Area,Depth_max,Depth_ave,Flow,Lat,Lon,PeriodStrict
LTL222,Cici,1975,P1,0,1,0,2,0,0,absent,699.6,39.2,7.7,27,55.81485,26.05324,P1
LTL52,Druk,1975,P1,1,1,2,2,0,0,absent,4480,33.3,8.2,29,55.63152,26.60113,P1
LTL158,Luok,1975,P1,1,1,1,2,0,0,absent,104.2,43.8,14.4,12,55.21088,25.42013,P1
LTL340,Pers,1975,P1,1,1,2,1,0,0,absent,215.7,32.5,7.9,119,55.21899,25.79639,P1
LTL220,Smal,1975,P1,0,1,0,1,0,0,absent,327.5,26.9,8.2,34,55.61578,26.39335,P1
LTL368,Ilga,1977,P1,0,1,0,3,0,0,absent,143.8,35.5,11.7,20,54.63151,24.75687,P1
LTL218,Rasi,1978,P1,0,1,0,1,0,0,absent,185.2,25,8.1,33,55.21147,25.69836,P1
LTL345,Bebr,1980,P1,0,1,0,1,0,0,absent,374.6,24,7,79,55.19024,25.46627,P1
LTL312,Luod,1995,P2,0,1,0,1,0,0,absent,1302.2,18.4,6.7,35,55.58133,26.20469,P1
LTL460,Akme,1998,P2,0,0,0,0,0,0,absent,276.5,30.2,11.2,8,54.66319,24.88472,P1
LTL348,Saka,1998,P2,1,1,3,3,1,1,present,79.5,40,16.5,1070,55.31709,26.05913,P1
LTL442,Taur,1998,P2,0,1,0,3,0,0,absent,512.7,60.5,18.7,22,55.44803,25.89135,P1
LTL336,Aise,1999,P2,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549,P1
LTL449,Asve,1999,P2,1,1,3,3,0,1,present,1015.1,50.2,14.9,46,55.04408,25.50682,P1
LTL157,Bala,1999,P2,0,1,0,3,0,0,absent,700.8,45,13.6,40,55.21629,25.60549,P1
LTL211,Bals,1999,P2,1,1,3,3,0,0,absent,427.3,33.1,10.7,103,55.4029,26.02475,P1
LTL43,Dusi,1999,P2,1,1,1,3,3,3,present,2334,32.6,15.4,6,54.28974,23.688,P1
LTL368,Ilga,1999,P2,0,1,0,3,0,0,absent,143.8,35.5,11.7,20,54.63151,24.75687,P1
LTL221,Ukoj,1999,P2,1,1,3,2,0,0,absent,210,30.5,11.3,155,55.37258,25.97065,P1
LTL226,Venc,1999,P2,0,1,0,3,0,0,absent,226.8,48.4,13.9,10,55.71111,25.97241,P1
LTL43,Dusi,2000,P2,1,1,1,2,3,3,present,2334,32.6,15.4,6,54.28974,23.688,P2
LTL43,Dusi,2002,P2,1,1,1,1,3,3,present,2334,32.6,15.4,6,54.28974,23.688,P2
LTL445,Zeim,2002,P2,1,1,3,2,1,1,present,454.6,23.5,6.9,698,55.28836,26.06128,P2
LTL336,Aise,2003,P2,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549,P2
LTL324,Asal,2003,P2,1,1,2,2,1,1,present,334.6,33,10,430,55.35191,26.0443,P2
LTL449,Asve,2003,P2,1,1,3,3,0,1,present,1015.1,50.2,14.9,46,55.04408,25.50682,P2
LTL157,Bala,2003,P2,0,1,0,2,0,0,absent,700.8,45,13.6,40,55.21629,25.60549,P2
LTL358,Bali,2003,P2,1,1,3,2,0,0,absent,251.6,37.5,12.5,52,55.04511,25.56411,P2
LTL211,Bals,2003,P2,1,1,1,3,0,0,absent,427.3,33.1,10.7,103,55.4029,26.02475,P2
LTL222,Cici,2003,P2,0,1,0,1,0,0,absent,699.6,39.2,7.7,27,55.81485,26.05324,P2
LTL52,Druk,2003,P2,0,0,0,0,1,0,present,4480,33.3,8.2,29,55.63152,26.60113,P2
LTL158,Luok,2003,P2,0,1,0,2,0,0,absent,104.2,43.8,14.4,12,55.21088,25.42013,P2
LTL327,Lusi,2003,P2,1,1,3,3,2,1,present,391.4,37,13.9,249,55.3331,26.06637,P2
LTL340,Pers,2003,P2,1,1,2,1,0,0,absent,215.7,32.5,7.9,119,55.21899,25.79639,P2
LTL348,Saka,2003,P2,1,1,3,3,1,1,present,79.5,40,16.5,1070,55.31709,26.05913,P2
LTL328,Sies,2003,P2,0,0,0,0,0,0,absent,532,37.8,11.3,60,55.2309,25.53158,P2
LTL442,Taur,2003,P2,0,1,0,3,0,0,absent,512.7,60.5,18.7,22,55.44803,25.89135,P2
